,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
23233,198409090005,1984,9,9,,0,,217,United States,1,North America,Texas,Webster,29.533365,-95.119139,1.0,0,,"9/9/1984: An unidentified male perpetrator attempted to bomb the Clear Lake Women's Center in Webster, Texas, United States.  However, the bomb malfunctioned so he attempted to set the facility on fire.  There were no casualties but the building was damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,7.0,Facility/Infrastructure Attack,,,5,Abortion Related,40.0,Clinics,,Clear Lake Women's Center,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Texas.,0.0,,,0,1.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,8.0,Incendiary,18.0,Arson/Fire,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,0.0,,,,,,,,,"This was one of four attacks against health care centers in the Houston area during a three day period (198409070008, 198409080004, and 198409070009).  Authorities believed that the material used to ignite the fire was purchased from the same place as the substance used in 198409070009.","Bonnie Britt, ""Abortion Clinic Bombing Unsolved,"" Houston Chronicle, October 29, 1985.","""Abortion Clinic Attacks,"" Washington Post, January 6, 1985.","""Chronological History of Arsons and Bombings Against Abortion Providers,"" National Abortion Federation.",Anti-Abortion Project 2010,-9,-9,0,-9,
24591,198503160008,1985,3,16,,0,,217,United States,1,North America,California,San Diego,32.715695,-117.161719,1.0,0,Through lobby window,"3/16/1985: Shane Cameron threw a Molotov cocktail into the Birth Control Institute in San Diego, California, United States.  There were no casualties but the building sustained $10,000 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,,The Birth Control Institute,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in California.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),10000.0,,0.0,,,,,,,0.0,,,,,,,,,The incident occurred at 10:25 PM.  The same clinic was firebombed seven months earlier (198409130009).,"Dennis Cushman, ""In Firebombing Aftermath All-Night Vigils Begin at Birth Control Clinic,"" Los Angeles Times, March 20, 1985.","Jeffrey Miller, ""Firebomb: Suspect Is Arrested Man Held in Firebombing of Abortion Clinic,"" Los Angeles Times, March 30, 1985.","Jenifer Warren, ""Birth Control Institute Firebombed a Second Time,"" Los Angeles Times, March 18, 1985.",Anti-Abortion Project 2010,-9,-9,0,-9,
24795,198504150003,1985,4,15,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1.0,0,,,0,1,1,-9,,,0,0,0,8,Unarmed Assault,,,,,9,Food or Water Supply,52.0,Water Supply,,Water Supply serving NYC,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,1.0,,,,,,,,,,,,3,Radiological,,,,,,,,,,,,,,,Plutonium,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,CBRN Global Chronology,-9,-9,0,-9,
25098,198505150011,1985,5,15,,0,,217,United States,1,North America,California,Berkeley,37.874043,-122.280022,1.0,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49.0,School/University/Educational Building,U.C.-Berkeley,"John Hauser, Berkley Graduate Student & Air Force Captain",217.0,United States,,,,,,,,,,,,,,,,,Anti-Technology extremists,,,,,,,0.0,,,1,1.0,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,1.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,HSI,-9,-9,0,-9,
25434,198506130008,1985,6,13,,0,,217,United States,1,North America,Washington,Auburn,47.307307,-122.228441,1.0,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,4.0,Multinational Corporation,Boeing,Fabrication Division of Boeing,217.0,United States,,,,,,,,,,,,,,,,,Anti-Technology extremists,,,,,,,0.0,,,1,1.0,,,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,Explosive,0.0,0.0,,0.0,0.0,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,HSI,-9,-9,0,-9,
26657,198511150006,1985,11,15,,0,,217,United States,1,North America,Michigan,Ann Arbor,42.281875,-83.748479,1.0,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49.0,School/University/Educational Building,University of Michigan,James McConnell,217.0,United States,,,,,,,,,,,,,,,,,Anti-Technology extremists,,,,,,,0.0,,,1,1.0,,,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,Mail bomb,0.0,0.0,0.0,2.0,2.0,0.0,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,HSI,-9,-9,0,-9,
26803,198512020029,1985,12,2,,0,,217,United States,1,North America,Oregon,Portland,45.511795,-122.675629,1.0,0,,"12/2/1985: In a series of four related incidents, an unidentified man sent a letter bomb to the Portland Feminist Women's Health Center in Oregon, United States.  Employees at the abortion facility noticed that the device was suspicious and reported it to authorities.  The letter bomb was subsequently defused.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,5,Abortion Related,40.0,Clinics,,Portland Feminist Women's Health Center,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,"To protest the practice of abortion and to sabotage abortion facilities operating in Oregon.  Specifically, the perpetrator was disgruntled that his girlfriend had received an abortion.",0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,Letter bomb of incendiary nature that was designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,"Dudley Clendinen, ""Abortion Clinics Are Targets Again,"" New York Times, December 9, 1985.","""Bombs Target Oregon Abortion Agencies,"" Los Angeles Times, December 5, 1985.","""Bombs Mailed To Four Abortion Clinics, Birth Control Agencies,"" Associated Press, December 3, 1985.",Anti-Abortion Project 2010,-9,-9,0,-9,"198512020029, 198512020030, 198512020031, 198512020032"
26804,198512020030,1985,12,2,,0,,217,United States,1,North America,Oregon,Portland,45.511795,-122.675629,1.0,0,"Main post office of Portland, Oregon","12/2/1985: In a series of four related incidents, an unidentified man sent a letter bomb addressed to the Lovejoy SurgiCenter in Portland, Oregon, United States.  The device was discovered at Portland's main post office.  The letter bomb was subsequently defused.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,5,Abortion Related,40.0,Clinics,,Lovejoy Surgi-Center,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,"To protest the practice of abortion and to sabotage abortion facilities operating in Oregon.  Specifically, the perpetrator was disgruntled that his girlfriend had received an abortion.",0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,Letter bomb of incendiary nature that was designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"This is part of a multiple attack with 198512020029, 198512020031, and 198512020032.  The abortion clinic had previously been the target of many protests and threats.","Dudley Clendinen, ""Abortion Clinics Are Targets Again,"" New York Times, December 9, 1985.","""Bombs Target Oregon Abortion Agencies,"" Los Angeles Times, December 5, 1985.","""Bombs Mailed To Four Abortion Clinics, Birth Control Agencies,"" Associated Press, December 3, 1985.",Anti-Abortion Project 2010,-9,-9,0,-9,"198512020029, 198512020030, 198512020031, 198512020032"
26805,198512020031,1985,12,2,,0,,217,United States,1,North America,Oregon,Portland,45.523062,-122.676482,1.0,0,,"12/2/1985: In a series of four related incidents, an unidentified man sent a letter bomb addressed to the Planned Parenthood clinic in Beaverton, Oregon, United States.  The device was discovered at Portland's main post office.  The letter bomb was subsequently defused.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,5,Abortion Related,40.0,Clinics,Planned Parenthood,"Planned Parenthood of Beaverton, Oregon",217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,"To protest the practice of abortion and to sabotage a Planned Parenthood clinic in Oregon.  Specifically, the perpetrator was disgruntled that his girlfriend had received an abortion.",0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,Letter bomb of incendiary nature that was designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"This is part of a multiple attack with 198512020029, 198512020030, and 198512020032.  The Planned Parenthood facility did not perform abortions.","Dudley Clendinen, ""Abortion Clinics Are Targets Again,"" New York Times, December 9, 1985.","""Bombs Target Oregon Abortion Agencies,"" Los Angeles Times, December 5, 1985.","""Bombs Mailed To Four Abortion Clinics, Birth Control Agencies,"" Associated Press, December 3, 1985.",Anti-Abortion Project 2010,-9,-9,0,-9,"198512020029, 198512020030, 198512020031, 198512020032"
26806,198512020032,1985,12,2,,0,,217,United States,1,North America,Oregon,Forest Grove,45.519015,-123.111169,1.0,0,"Main post office of Portland, Oregon","12/2/1985: In a series of four related incidents, an unidentified man sent a letter bomb addressed to Dr. Peter Bours, a physician who performs abortions in Forest Grove, Oregon, United States.  The device was discovered at Portland's main post office.  The letter bomb was subsequently defused.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,5,Abortion Related,41.0,Personnel,Physician who performed abortions,Dr. Peter Bours,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,"To protest the practice of abortion and to sabotage abortion facilities operating in Oregon.  Specifically, the perpetrator was disgruntled that his girlfriend had received an abortion.",0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,Letter bomb of incendiary nature that was designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"This is part of a multiple attack with 198512020029, 198512020030, and 198512020031.  Dr. Bours had previously been identified in a New York Times Magazine article as a physician who performs abortions.","""Bombs Target Oregon Abortion Agencies,"" Los Angeles Times, December 5, 1985.","""Bombs Mailed To Four Abortion Clinics, Birth Control Agencies,"" Associated Press, December 3, 1985.",,Anti-Abortion Project 2010,-9,-9,0,-9,"198512020029, 198512020030, 198512020031, 198512020032"
26857,198512110011,1985,12,11,,0,,217,United States,1,North America,California,Sacramento,38.579065,-121.491014,1.0,0,1 outside computer rental store in shopping center in suburb of Sacramento,"12/11/1985:  A pipe bomb exploded outside Ren Tech Computer Rentals, a store located in a shopping center in a suburb of Sacramento, California in the United States.  The explosion killed the owner of the store, Hugh Campbell Scrutton, as the bomb, which was disguised as a package, detonated as Scrutton touched the package that was placed at the rear door of his store.  The perpetrator of this incident was later identified to be Ted Kaczynski, also known as the ""Unabomber."" Kaczynski was responsible for a bombing campaign of over a dozen bombs sent to a number of targets including mostly universities and airlines between 1987 and 1995. He was eventually arrested, charged, and sentenced to life in prison.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,Ren Tech Computer Rentals,"computer rental store in suburb of Sacramento, California",217.0,United States,1.0,Business,7.0,Retail/Grocery/Bakery,Hugh Campbell Scrutton,"Hugh Campbell Scrutton, owner of a computer rental store",217.0,United States,,,,,,,,,Anti-Technology extremists,,,,,,"Kaczynski was responsible for a 17-year bombing campaign of universities, airlines and computer-related targets, as he was against modern technology and large-scale organizations because he believed they diminished human freedom.",0.0,,,1,1.0,1.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,"pipe bomb wrapped in paper and tied with strings, made to look like a parcel",1.0,1.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,,0.0,,,,,,,,,,,,,,,,"The explosion occurred at approximately 12:00pm; The perpetrator was later identified as Theodore Kaczynski, known as the ""Unabomber.""  In 1996, he was arrested and indicted for nearly 20 bombings, and the murder of Scrutton as well as 2 others. He was sentenced to life in prison without parole.","""Mystery Bomber Is Hunted in Series of Blasts,"" New York Times, February 20, 1986.","Allan Hall, ""Hermit Caged Over 17-Year Bombing Crusade Against Computer Boffins; FBI agents pounce on hermit Ted Kaczynski yesterday ending their 17-year hunt for the mad bomber who held the US to ransom,"" Scottish Daily Record & Sunday Mail Ltd, New York, April 5, 1996.","""UPI Context: Attacks attributed to serial bomber,"" United Press International, December 20, 1985.",Hewitt Project,-9,-9,0,-9,
26982,198512300008,1985,12,30,,0,,217,United States,1,North America,Ohio,Cincinnati,39.103175,-84.511981,1.0,0,Fire set in basement of building,"12/30/1985: In a series of related attacks, John Brockhoeft ignited a fire at the Margaret Sanger Center of Planned Parenthood in Cincinnati, Ohio, United States.  There were no casualties but the abortion clinic sustained over $75,000 in damages.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,Planned Parenthood,Margaret Sanger Center of Planned Parenthood,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,Flammable liquid poured on basement floor and ignited on fire.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),75000.0,,0.0,,,,,,,0.0,,,,,,,,,"This is part of a multiple incident with (198512300009).  Both attacks occurred around 2:30 AM.  One day later, a fire was set at an abortion clinic in Toledo, Ohio (198512310002).","Sue Cross, ""Arson Suspected In Third Ohio Clinic Fire,"" Associated Press, December 31, 1985.","""Ohio Abortion Clinic Fire 3rd Such Blaze in 2 Days,"" Chicago Sun-Times, January 1, 1986.","""Clinic Fires in Ohio and N.C. Compared,"" Wilmington Morning Star, January 4, 1986.",Anti-Abortion Project 2010,-9,-9,0,-9,"198512300008, 198512300009"
26983,198512300009,1985,12,30,,0,,217,United States,1,North America,Ohio,Cincinnati,39.103175,-84.511981,1.0,0,Fire set in basement of building,"12/30/1985: In a series of related attacks, John Brockhoeft ignited a fire at the Women's Heath Care Center in Cincinnati, Ohio, United States.  There were no casualties but the abortion clinic sustained $75,000 in damages.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,,Women's Health Care Center,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,Flammable liquid poured on basement floor and ignited on fire.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),75000.0,,0.0,,,,,,,0.0,,,,,,,,,"This is part of a multiple incident with (198512300008).  Both attacks occurred around 2:30 AM.  One day later, a fire was set at an abortion clinic in Toledo, Ohio (198512310002).","Sue Cross, ""Arson Suspected In Third Ohio Clinic Fire,"" Associated Press, December 31, 1985.","""Ohio Abortion Clinic Fire 3rd Such Blaze in 2 Days,"" Chicago Sun-Times, January 1, 1986.","""Clinic Fires in Ohio and N.C. Compared,"" Wilmington Morning Star, January 4, 1986.",Anti-Abortion Project 2010,-9,-9,0,-9,"198512300008, 198512300009"
26985,198512310002,1985,12,31,,0,,217,United States,1,North America,Ohio,Toledo,41.67086,-83.543846,1.0,0,Fire set in crawlspace,"12/31/1985: Marjorie Reed set fire to the Toledo Medical Services in Toledo, Ohio, United States.  There were no casualties but the building sustained $20,000 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,,Toledo Medical Services,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),20000.0,Interior walls burnt,0.0,,,,,,,0.0,,,,,,,,,"The incident occurred at 2:00 AM.  Twelve hours earlier, there was a bomb threat at a different Toledo abortion clinic.  There were two attacks against abortion clinics in Cincinnati, Ohio one day before the incident (198512300008 and 198512300009).  Moreover, this was the third time in a two year period that Marjorie Reed set a fire at the Toledo Medical Services abortion clinic (198703080007 and 198706080015).","Sue Cross, ""Arson Suspected In Third Ohio Clinic Fire,"" Associated Press, December 31, 1985.","""Ohio Abortion Clinic Fire 3rd Such Blaze in 2 Days,"" Chicago Sun-Times, January 1, 1986.","""Clinic Fires in Ohio and N.C. Compared,"" Wilmington Morning Star, January 4, 1986.",Anti-Abortion Project 2010,-9,-9,0,-9,
27422,198603030007,1986,3,3,,0,,217,United States,1,North America,California,Culver City,34.097866,-118.407379,1.0,0,6071 Slauson Ave.,"3/3/1986: Dean Harvey Hicks, the sole member of Up the IRS, Inc, was suspected of placing four pipe bombs outside an unoccupied Internal Revenue Service office in Culver City, California, United States.  The bombs were discovered and subsequently defused.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Internal Revenue Service,"Internal Revenue Service offices, Culver City California",217.0,United States,,,,,,,,,,,,,,,,,"Up the IRS, Inc",,,,,,To protest the IRS and the taxation system of the United States government,1.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,Four pipe bombs,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"A window at the facility was shattered on the same day, but it is not believed to be related to this incident.  Reports conflict as to whether Dean Harvey Hicks  confessed to this incident in 1991.  In 1981, the Culver City IRS offices assessed a substantial penalty to Hicks for faulty tax returns.","Brent L. Smith and Kelly R. Damphousse, ""Pre-Incident Indicators of Terrorist Incidents; The Identification of Behavioral, Geographic, and Temporal Patterns of Preparatory Conduct,"" United States Department of Justice, May 2006.","""Pipe Bombs Found at IRS Office,"" Los Angeles Times, March 6, 1986.","Ronald L. Soble, ""Costa Mesa Man Admits 8 IRS Bombings Investigation,"" Los Angeles Times, July 12, 1991.",Hewitt Project,0,0,0,0,
27438,198603060005,1986,3,6,,0,,217,United States,1,North America,Idaho,Hayden Lake,47.765793,-116.757971,1.0,0,at auto shop,"03/06/1986:  A packaged bomb was sent to Gary Solomon, a local Jewish businessman and owner of Solomon Trucking company in Hayden Lake, Idaho, United States.  No casualties resulted in the incident, and tit is unknown if any property damage resulted from the explosion.  This bomb was sent by David Dorr, leader of the Order II, a group that stemmed from the original Order, which had previously collapsed.  The Order II (Bruder Schweigen Strike Force II) was also anti-government which the group believed to be unrighteous, as well as anti-Semitic.",1,1,1,1,2.0,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,1,Business,,,"Gary Solomon, Jewish businessman","Gary Solomon, local Jewish businessman",217.0,United States,1.0,Business,7.0,Retail/Grocery/Bakery,Solomon Trucking,"Solomon Trucking, a trucking company and auto shop, owned by Gary Solomon, a Jewish man",217.0,United States,,,,,,,,,The Order II (Bruder Schweigen Strike Force II),,,,,,"Possibly anti-Semitic; The Order II was a group that arose after The Order collapsed, and the group was started by David Dorr, a former Aryan Nation member.  The group's goal was to carry out the white supremacist mission of the first version of The Order. The Order II was also against Jews and the government, which the group believed was unrighteous.",0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,17.0,Other Explosive Type,,,,,,,,,,,,,packaged bomb,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,,,,,,,,,,,,,,,,,,"The Order II was created to carry out the white supremacist mission of the original group which collapsed after members were captured.  David Dorr led The Order II (along with his wife) and the localized group followed the anti-government ideology of the  Order, maintaining that the government was unrighteous.  The group was also anti-Semitic and against minorities. David Dorr was eventually captured and sentenced for his crimes during his involvement with The Order II.","Brent L. Smith, ""Terrorism in America: Pipe Bombs and Pipe Dreams,"" State University of New York Press, 1994.","James Coates, ""A Bad Day in 'Beirut, Idaho' Experts Seek Clues to Bombings,"" Chicago Tribune, October 1, 1986.","""The Aryan Chronicles,"" The Spokesman-Review, Spokane Washington, December 30, 1986.",Hewitt Project,0,0,0,0,
28120,198605200017,1986,5,20,,0,,217,United States,1,North America,Ohio,Toledo,41.67086,-83.543846,1.0,0,Abortion clinic located on second floor of building,"5/20/1986: Marjorie Reed set fire to the building housing the Center for Choice in Toledo, Ohio, United States.  There were no casualties but the building sustained $200,000 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,,Center for Choice,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),200000.0,,0.0,,,,,,,0.0,,,,,,,,,The incident took place at 4:52 AM.  The abortion clinic had previously been the target of numerous protests.,"""Fire Damages Toledo Clinic,"" Associated Press, May 20, 1986.","""Arrest Anti-Abortion Activist,"" The Bryan Times, October 18, 1989.","""Fire Hits Building Housing Abortion Clinic,"" Los Angeles Times, May 20, 1986.",Anti-Abortion Project 2010,-9,-9,0,-9,
28583,198607030008,1986,7,3,,0,,217,United States,1,North America,Illinois,Chicago,41.842602,-87.681229,1.0,0,330 E. 220 Street,"7/3/1986: Robert Ahlgren placed a pipe bomb outside of the Internal Revenue Service offices in Lombard, Illinois, United States.  The bomb detonated shattering windows and the glass doors of the facility.  There were no casualties.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Internal Revenue Service,"Internal Revenue Service Office, Lombard Illinois",217.0,United States,,,,,,,,,,,,,,,,,Anti-Government Group,,,,,,To protest the IRS and the taxation system of the United States government,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Nine inch stick of dynamite placed in a clay pipe,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Glass doors and windows shattered,0.0,,,,,,,0.0,,,,,,,,,"This incident took place at 2:00 AM.  Ahlgren was associated with groups that protested the United States taxation system and believed that the IRS offices were ""an opportune target.""  His friends talked him into carrying out the attack.","Jess Bravin, ""Stick of Dynamite Blows Out Doors of Lombard IRS Office,"" Chicago Tribune, July 4, 1986.","""Guilty Plea in Federal Building Bomb,"" Chicago Tribune, October 30, 1986.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,0,-9,
29624,198611250003,1986,11,25,,0,,217,United States,1,North America,Illinois,Rockford,42.271817,-89.094544,1.0,0,,"11/25/1986: David Holman set a fire at the Northern Illinois Women's Center in Rockford, Illinois, United States.  There were no casualties but the abortion clinic sustained minor damage.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,,Northern Illinois Women's Center,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Illinois.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Minimal damage,0.0,,,,,,,0.0,,,,,,,,,"This was one of five total attacks against the Northern Illinois Women's Center in seven month period (198605130017, 198610310007, 198612100008, and 198701060007).  David Holman was convicted of setting the fire in this incident as well as two others (198612100008 and 198703080007).  The abortion clinic had previously been the subject of many picketers.","John O'Brien, ""Janitor Charged In Arson At  Abortion Clinic,"" Chicago Tribune, January 14, 1987.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","""Chronological History of Arsons and Bombings Against Abortion Providers,"" National Abortion Federation.",Anti-Abortion Project 2010,-9,-9,0,-9,
29674,198612100008,1986,12,10,,0,,217,United States,1,North America,Illinois,Rockford,42.271817,-89.094544,1.0,0,,"12/10/1986: David Holman set a fire at the Northern Illinois Women's Center in Rockford, Illinois, United States.  There were no casualties but the abortion clinic sustained minor damage.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,,Northern Illinois Women's Center,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Illinois.,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Minimal damage,0.0,,,,,,,0.0,,,,,,,,,"This was one of five total attacks against the Northern Illinois Women's Center in seven month period (198605130017, 198610310007, 198611250003, and 198701060007).  David Holman was convicted of setting the fire in this incident as well as two others (198611250003 and 198701060007).  The abortion clinic had previously been the subject of many picketers.","John O'Brien, ""Janitor Charged In Arson At  Abortion Clinic,"" Chicago Tribune, January 14, 1987.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","""Chronological History of Arsons and Bombings Against Abortion Providers,"" National Abortion Federation.",Anti-Abortion Project 2010,-9,-9,0,-9,
